i,t
3712,12
3714,1
3715,13
3716,1
3718,1
3721,1
3722,1
3723,1
3724,1
3725,1
3728,7
3730,1
3732,1
3735,14
3736,1
3737,1
3740,1
3744,1
3746,1
3747,1
3748,1
3749,15
3750,1
3751,1
3753,1
3754,8
3755,1
3756,1
3757,1
3760,3
3761,1
3762,1
3763,1
3765,3
3766,1
3768,1
3769,1
3770,4
3771,1
3772,1
3773,0
3774,5
3775,2
3776,7
3777,10
3778,1
3779,5
3780,1
3781,1
3782,1
3783,1
3784,4
3785,1
3786,2
3787,1
3788,2
3789,1
3790,1
3791,1
3793,1
3794,1
3795,1
3796,1
3797,8
3798,4
3799,1
3800,1
3801,1
3802,1
3803,1
3804,4
3805,2
3806,1
3807,1
3808,1
3809,1
3810,1
3812,1
3814,1
3815,3
3816,4
3817,1
3818,1
3819,5
3820,1
3821,5
3822,1
3823,1
3824,5
3825,11
3828,1
3829,1
3830,1
3831,4
3832,1
3834,1
3835,15
3838,1
3839,1
3840,1
3841,1
3842,1
3843,1
3845,1
3847,4
3849,1
3850,1
3851,5
3855,1
3857,1
3858,1
3859,1
3860,1
3861,0
3862,14
3863,1
3864,1
3865,1
3866,1
3867,1
3869,1
3871,1
3873,10
3874,6
3875,9
3876,1
3877,6
3878,1
3880,11
3882,1
3883,6
3885,1
3886,1
3888,1
3889,1
3891,0
3894,1
3897,1
3900,1
3901,1
3905,1
3906,1
3907,3
3908,6
3910,9
3914,1
3915,1
3916,1
3917,1
3919,1
3920,6
3921,1
3924,2
3926,1
3927,6
3928,1
3930,12
3932,1
3934,1
3935,0
3937,1
3942,1
3944,1
3945,1
3947,1
3950,1
3953,1
3955,1
3956,1
3967,1
3968,15
3971,1
3975,1
3976,1
3977,1
3980,1
3982,1
3984,1
3986,1
3988,1
3992,1
3993,9
3995,1
3996,3
3997,1
3998,1
3999,1
4000,1
4001,1
4002,1
4003,1
4004,10
4006,1
4007,9
4009,1
4011,4
4012,1
4014,1
4015,5
4017,1
4018,15
4019,7
4027,3
4028,1
4032,1
4033,1
4034,1
4035,1
4036,1
4037,1
4038,1
4039,1
4042,3
4043,1
4044,1
4048,13
4049,1
4050,1
4051,1
4052,1
4053,12
4055,1
4056,1
4059,1
4062,1
4065,10
4067,1
4068,11
4069,9
4071,1
4072,1
4073,1
4074,1
4075,1
4080,1
4084,1
4088,1
4089,1
4091,1
4092,1
4093,10
4094,14
4100,8
4103,1
4104,8
4107,1
4109,1
4111,1
4112,1
4113,1
4114,1
4116,11
4117,1
4118,1
4120,1
4122,1
4123,1
4124,9
4125,4
4126,1
4128,1
4129,1
4130,1
4131,1
4133,1
4135,7
4136,14
4137,1
4138,8
4139,6
4140,1
4141,10
4142,1
4143,11
4144,3
4145,11
4146,11
4147,1
4148,5
4149,1
4150,1
4151,8
4152,1
4153,1
4155,1
4156,1
4157,1
4158,1
4159,1
4160,1
4161,1
4163,7
4164,1
4166,10
4167,1
4168,1
4177,1
4181,1
4183,1
4184,1
4195,1
4198,1
4199,1
4202,1
4203,1
4205,1
4206,12
4207,6
4215,1
4226,1
4243,1
4248,1
4251,1
4254,1
4263,1
4265,1
4266,1
4273,1
4290,1
4293,1
4295,1
4297,1
4299,1
4315,1
4320,1
4327,1
4336,1
4345,1
4346,1
4347,10
4348,4
4349,1
4350,1
4351,13
4352,13
4353,7
4354,1
4355,1
4356,1
4357,1
4360,1
4361,1
4365,1
4375,1
4377,1
4384,1
4385,1
4403,1
4405,1
4407,1
4410,1
4412,1
4414,6
4415,1
4416,1
4418,10
4419,1
4422,1
4425,1
4426,2
4429,1
4430,15
4432,1
4433,1
4434,1
4435,1
4438,1
4440,1
4443,1
4445,1
4447,1
4448,1
4450,1
4452,1
4455,10
4457,7
4458,1
4459,1
4460,12
4461,1
4462,1
4469,1
4470,1
4478,1
4480,1
4481,1
4482,0
4483,0
4484,1
4487,1
4490,11
4492,1
4493,1
4498,1
4501,13
4503,1
4518,7
4519,1
4520,8
4526,1
4527,1
4530,14
4548,1
4560,14
4561,5
4566,1
4567,1
4571,9
4579,1
4597,1
4599,1
4617,1
4624,1
4625,1
4629,1
4638,8
4639,1
4641,10
4642,13
4645,1
4679,1
4688,1
4690,1
4694,1
4696,1
4697,1
4707,1
4720,1
4731,1
4732,1
4756,1
4795,1
4796,1
4797,10
4799,1
4801,1
4835,1
4845,1
4849,1
4866,1
4883,1
4895,1
4897,11
4902,1
4903,1
4914,1
4922,1
4927,1
4928,1
4933,1
4937,1
4943,1
4961,1
4987,1
4991,1
4995,1
4996,1
4999,1
5023,13
5025,8
5028,4
5033,1
5036,1
5037,1
5038,1
5039,1
5040,4
5041,11
5042,8
5043,1
5045,1
5047,13
5048,1
5049,1
5051,1
5052,4
5053,1
5054,5
5055,12
5057,5
5058,6
5059,1
5060,7
5062,1
5063,1
5064,12
5065,1
5066,1
5067,1
5068,9
5069,6
5071,4
5072,1
5074,1
5075,1
5077,5
5078,1
5079,1
5080,1
5081,1
5083,1
5085,14
5086,1
5087,1
5088,1
5089,1
5090,1
5091,6
5095,1
5096,1
5097,1
5098,1
5100,1
5101,15
5102,1
5103,1
5104,9
5105,1
5106,1
5108,1
5110,1
5111,1
5112,1
5113,3
5114,1
5117,1
5118,1
5119,5
5122,10
5123,1
5127,1
5129,1
5130,1
5131,1
5134,1
5135,1
5136,1
5137,1
5140,1
5141,14
5142,1
5143,1
5145,1
5146,1
5149,1
5150,1
5151,1
5152,1
5153,1
5154,1
5155,6
5156,1
5157,1
5158,2
5159,14
5161,7
5162,1
5164,0
5165,1
5167,1
5172,1
5182,10
5184,1
5186,1
5188,1
5192,1
5194,1
5197,1
5201,1
5204,1
5237,1
5241,1
5246,1
5248,0
5249,1
5280,1
5281,1
5282,7
5305,0
5335,5
5336,1
5337,11
5343,1
5348,3
5354,1
5364,1
5377,3
5379,1
5398,3
5419,0
5424,1
5425,1
5428,4
5429,12
5435,1
5436,1
5437,1
5442,1
5444,1
5445,11
5448,1
5450,1
5452,1
5453,12
5455,7
5457,8
5458,1
5460,4
5461,1
5462,1
5463,1
5466,14
5467,1
5469,1
5470,1
5472,1
5473,1
5476,1
5477,2
5484,1
5490,1
5491,1
5492,1
5493,1
5494,1
5495,1
5496,1
5497,1
5498,7
5499,1
5500,3
5501,2
5502,1
5503,1
5504,1
5505,1
5506,1
5507,1
5508,1
5509,0
5510,1
5511,4
5512,1
5513,7
5515,1
5516,1
5517,1
5522,7
5526,1
5536,1
5537,1
5538,1
5539,1
5540,8
5541,14
5542,1
5543,1
5544,1
5545,3
5546,1
5555,1
5559,1
5572,1
5573,13
5575,1
5584,1
5585,1
5589,15
5595,1
5599,1
5600,10
5601,1
5607,8
5608,5
5611,1
5613,1
5614,1
5616,1
5617,15
5620,1
5623,1
5624,1
5625,1
5626,1
5627,1
5632,1
5634,1
5637,1
5643,1
5647,1
5648,1
5655,1
5662,1
5667,1
5678,1
5681,1
5682,1
5684,1
5685,14
5686,1
5687,1
5688,1
5691,2
5692,2
5700,1
5705,1
5719,1
5722,1
5723,1
5724,1
5730,1
5733,1
5743,1
5758,1
5763,1
5775,1
5793,1
5797,1
5798,1
5805,1
5810,10
5813,1
5814,1
5816,1
5817,12
5818,1
5819,1
5829,1
5831,1
5836,1
5839,1
5840,1
5841,1
5842,1
5846,1
5848,1
5854,1
5856,1
5864,1
5867,14
5879,1
5880,1
5886,1
5891,1
5909,1
5916,4
5928,1
5932,1
5937,1
5955,7
5958,1
5964,1
5968,1
5971,1
5977,1
5987,1
5996,1
5998,1
5999,1
6000,1
6004,1
6011,1
